XCoord,YCoord,FID,ID,UNIQUEID,ADDRESS,SUFFIX,STREET,ONSTR,FROMSTR,TOSTR,SIDE,SITE,SPP,DBH,CULTIVAR,CONDITION,INSPECT,MT,MT2,TTYPE,MEMTREE,DISEASEDEF,STRUTDEFEC,LOCTYPE,SITECAT,HOOD,LOCATION,JURISDIC,TSIP,GRATESZ,GUARDSZ,INV_DATE,INV_TIME,INSPECT_DT,INSPECT_TM,NOTES,ACTIVE,COMMONNAME
3066818.89010000,1235217.15580000,12,41921.000000,JS 20141204151317,1095, ,LEHIGH ST,LEHIGH ST,TABLE MESA DR,BEAR MOUNTAIN DR,N/A,43,Malus sylvestris,12.000000, ,Fair,N,Structure Prune,Routine,Deciduous,No,N/A,Large Limbs/scaffold defect,Park,Turf,Park,Bear Creek Park,Unassigned,N,Unassigned,Unassigned,2014-12-04 00:00:00, ,2015-07-10 00:00:00,11:30:46,DBH @ <4.5 ft,1.000000,Flowering Crabapple
3081389.64770000,1274086.40990000,13,84883.000000,AC 20150601073658,6301, ,63RD ST,63RD ST,CITY LIMITS,DIAGONAL HY,N/A,58,Populus deltoides,15.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Coot Lake,Unassigned,N,Unassigned,Unassigned,2015-06-01 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Eastern Cottonwood
3058372.80540000,1258745.59080000,14,38586.000000,JS 20141120120727,300,X,POPLAR AV,POPLAR AV,PROMINTORY CT,WONDERLAND HILL AV,N/A,72,Pinus edulis,5.000000, ,Good,N,No Specific Maintenance Need,Routine,Evergreen,No,N/A,N/A,Park,Turf,Park,Wonderland Lake Park,Unassigned,N,Unassigned,Unassigned,2014-11-20 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Pinon Pine
3056949.48240000,1247746.98890000,15,40787.000000,CC 20141202122851,101, ,ARAPAHOE  AV,ARAPAHOE  AV,6TH ST,CANYON BV,N/A,163,Populus sargentii,17.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,basal decay,Park,Natural Area,Park,Eben G Fine Park,Unassigned,N,Unassigned,Unassigned,2014-12-02 00:00:00, ,2015-07-10 00:00:00,11:30:46,dbh est,1.000000,Plains Cottonwood
3059696.95760000,1258293.95280000,16,45088.000000,CC 20141216130939,701,X,LINDEN PARK DR,LINDEN PARK DR,LINDEN AV,WONDERLAND HILL AV,N/A,37,Salix fragilis,19.000000, ,Fair,N,Safety Prune,Priority 2,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Maxwell Lake Park,Unassigned,N,Unassigned,Unassigned,2014-12-16 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Crack Willow
3061030.53180000,1245796.58590000,17,41308.000000,JS 20141202102839,1201, ,9TH ST,9TH ST,PLEASANT ST,COLLEGE AV,N/A,259,Malus sylvestris,6.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Columbia Cemetery,Unassigned,N,Unassigned,Unassigned,2014-12-02 00:00:00, ,2015-07-10 00:00:00,11:30:46,DBH @ <4.5 ft,1.000000,Flowering Crabapple
3064693.02060000,1249386.18290000,18,36495.000000,CC 20141121084702,2035, ,CANYON BV,CANYON BV,22ND ST,19TH ST,N/A,12,Acer platanoides,10.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Emma Gomez Martinez Park,Unassigned,N,Unassigned,Unassigned,2014-11-21 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Norway Maple
3077604.04270000,1239605.26360000,19,44540.000000,AC 20141208085655,5660, ,SIOUX DR,SIOUX DR,55TH ST,55TH ST,N/A,370,Populus sargentii,9.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,East Boulder Community Park/Community Center,Unassigned,N,Unassigned,Unassigned,2014-12-08 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Plains Cottonwood
3069888.46420000,1238157.91860000,20,36200.000000,AC 20141125160415,300,X,S 36TH ST,S 36TH ST,S BROADWAY,EASTMAN AV,N/A,48,Prunus yedoensis,3.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Martin Park,Unassigned,N,Unassigned,Unassigned,2014-11-25 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Yoshino Flowering Cherry
3062653.83380000,1261720.63060000,21,37373.000000,JS 20141113121630,1701,X,SUMAC AV,SUMAC AV,19TH ST,15TH ST,N/A,16,Tilia cordata,8.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,trunk wounds,Park,Turf,Park,Crestview  Park,Unassigned,N,Unassigned,Unassigned,2014-11-13 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Littleleaf Linden
3073324.82300000,1252962.72830000,22,36021.000000,AC 20141124152901,4942, ,VALMONT RD,VALMONT RD,STERLING CT,STERLING DR,N/A,134,Malus sylvestris,4.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Valmont City Park - South,Unassigned,N,Unassigned,Unassigned,2014-11-24 00:00:00, ,2015-07-10 00:00:00,11:30:46,DBH @ <4.5 ft,1.000000,Flowering Crabapple
3074823.28270000,1254271.61430000,23,35540.000000,AC 20141120143744,5325, ,VALMONT RD,VALMONT RD,STERLING CR,AIRPORT RD,N/A,504,Prunus virginiana,1.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Shrub /Mulch bed,Park,Valmont City Park - Bike Park,Unassigned,N,Unassigned,Unassigned,2014-11-20 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Chokecherry
3059326.81710000,1263510.61790000,24,38223.000000,JS 20141118150923,1001,X,CHERRY AV,CHERRY AV,7TH ST,10TH ST,N/A,239,Catalpa speciosa,5.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Foothills Community Park,Unassigned,N,Unassigned,Unassigned,2014-11-18 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Western Catalpa
3072969.93710000,1244800.09960000,25,45341.000000,CC 20141218141314,999,X,MORGAN DR,MORGAN DR,CUL-DE-SAC,PITKIN DR,N/A,126,Populus sargentii,12.000000, ,Fair,N,Safety Prune,Priority 3,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Park East Park,Unassigned,N,Unassigned,Unassigned,2014-12-18 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Plains Cottonwood
3078169.75860000,1239730.74000000,26,44610.000000,AC 20141208121800,5660, ,SIOUX DR,SIOUX DR,55TH ST,55TH ST,N/A,440,Populus sargentii,11.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,East Boulder Community Park/Community Center,Unassigned,N,Unassigned,Unassigned,2014-12-08 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Plains Cottonwood
3076314.93460000,1240374.50760000,27,40176.000000,AC 20141202155601,280,X,MANHATTAN DR,MANHATTAN DR,KEWANEE DR,TENINO AV,N/A,25,Malus sylvestris,16.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Keewaydin Park,Unassigned,N,Unassigned,Unassigned,2014-12-02 00:00:00, ,2015-07-10 00:00:00,11:30:46,DBH @ <4.5 ft,1.000000,Flowering Crabapple
3066048.64050000,1252149.53720000,28,38879.000000,JS 20141121163417,2472, ,BLUFF ST,BLUFF ST,24TH ST,FOLSOM ST,N/A,16,Malus ioensis,3.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,restricted grow space,Park,Shrub /Mulch bed,Park,Bluff Park,Unassigned,N,Unassigned,Unassigned,2014-11-21 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Prairie Crabapple
3058736.32560000,1258497.56180000,29,38583.000000,JS 20141120120348,300,X,POPLAR AV,POPLAR AV,PROMINTORY CT,WONDERLAND HILL AV,N/A,69,Ulmus pumila,7.000000, ,Fair,N,Structure Prune,Priority 3,Deciduous,No,N/A,included bark,Park,Turf,Park,Wonderland Lake Park,Unassigned,N,Unassigned,Unassigned,2014-11-20 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Siberian Elm
3070095.07680000,1233220.93890000,30,42083.000000,JS 20141205123236,1500,X,GILLASPIE DR,GILLASPIE DR,GREENBRIAR BV,GRINNELL AV,N/A,116,Populus hybrid,4.000000, ,Excellent,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Harlow Platts Park/South Boulder Rec Center,Unassigned,N,Unassigned,Unassigned,2014-12-05 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Hybrid Cottonwood
3074231.54960000,1253526.46320000,31,35889.000000,AC 20141124110137,4942, ,VALMONT RD,VALMONT RD,STERLING CT,STERLING DR,N/A,2,Koelreuteria paniculata,3.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Valmont City Park - South,Unassigned,N,Unassigned,Unassigned,2014-11-24 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Goldenrain Tree
3063629.39680000,1247313.92160000,32,40558.000000,CC 20141201092630,1233, ,17TH ST,17TH ST,ARAPAHOE  AV,HILLSIDE RD,N/A,30,Populus species 'Poplar',6.000000, ,Very Poor,N,Remove,Priority 2,Deciduous,No,N/A,dead leaders,Park,Shrub /Mulch bed,Park,Swoboda Memorial Park,Unassigned,N,Unassigned,Unassigned,2014-12-01 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Poplar species
3060499.84160000,1245761.79240000,33,39154.000000,JS 20141125120456,1201, ,9TH ST,9TH ST,PLEASANT ST,COLLEGE AV,N/A,120,Fraxinus pennsylvanica,10.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,trunk wounds,Park,Turf,Park,Columbia Cemetery,Unassigned,N,Unassigned,Unassigned,2014-11-25 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3070001.03650000,1232803.45660000,34,42124.000000,JS 20141205130832,1500,X,GILLASPIE DR,GILLASPIE DR,GREENBRIAR BV,GRINNELL AV,N/A,157,Prunus yedoensis,1.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Harlow Platts Park/South Boulder Rec Center,Unassigned,N,Unassigned,Unassigned,2014-12-05 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Yoshino Flowering Cherry
3058691.23720000,1260212.58010000,35,38388.000000,JS 20141119130432,301,X,POPLAR AV,POPLAR AV,QUINCE CR,PROMINTORY CT,N/A,24,Fraxinus pennsylvanica,4.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,restricted grow space,Park,Rock bed,Park,Wonderland Lake Park,Unassigned,N,Unassigned,Unassigned,2014-11-19 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3066790.83860000,1235244.76890000,36,41923.000000,JS 20141204151624,1095, ,LEHIGH ST,LEHIGH ST,TABLE MESA DR,BEAR MOUNTAIN DR,N/A,45,Malus sylvestris,14.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Bear Creek Park,Unassigned,N,Unassigned,Unassigned,2014-12-04 00:00:00, ,2015-07-10 00:00:00,11:30:46,DBH @ <4.5 ft,1.000000,Flowering Crabapple
3074475.33130000,1254045.48230000,37,35485.000000,AC 20141120115727,5325, ,VALMONT RD,VALMONT RD,STERLING CR,AIRPORT RD,N/A,449,Malus species,4.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,Large Limbs/scaffold defect,Park,Shrub /Mulch bed,Park,Valmont City Park - Bike Park,Unassigned,N,Unassigned,Unassigned,2014-11-20 00:00:00, ,2015-07-10 00:00:00,11:30:46,malus domestica,1.000000,Apple species
3060811.81350000,1248342.47070000,38,59928.000000,NR 20150206161045,1777, ,BROADWAY,BROADWAY,CANYON BV,ARAPAHOE  AV,N/A,137,Malus sylvestris,13.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Civic Area - Municipal Complex,Unassigned,N,Unassigned,Unassigned,2015-02-06 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Flowering Crabapple
3078966.07420000,1246513.79050000,39,48795.000000,SR 20150101114848,5710, ,ARAPAHOE AV,ARAPAHOE AV,55TH ST,OLD TALE RD,N/A,1167,Populus alba,52.000000, ,Poor,N,Safety Prune,Priority 3,Deciduous,No,N/A,N/A,Park,Turf,Park,Flatirons Golf Course,Unassigned,N,Unassigned,Unassigned,2015-01-01 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,White Poplar
3076454.50460000,1240117.02000000,40,40253.000000,AC 20141203112223,280,X,MANHATTAN DR,MANHATTAN DR,KEWANEE DR,TENINO AV,N/A,77,Acer platanoides,19.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,previous failure,Park,Turf,Park,Keewaydin Park,Unassigned,N,Unassigned,Unassigned,2014-12-03 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Norway Maple
3075884.91910000,1254542.64750000,41,35159.000000,AC 20141118132333,5325, ,VALMONT RD,VALMONT RD,STERLING CR,AIRPORT RD,N/A,123,Populus hybrid,15.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,included bark,Park,Natural Area,Park,Valmont City Park - Bike Park,Unassigned,N,Unassigned,Unassigned,2014-11-18 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Hybrid Cottonwood
3073062.30660000,1254313.59640000,42,41173.000000,CC 20141205085638,3100, ,KINGS RIDGE BV,KINGS RIDGE BV,VALMONT RD,FRANKLIN DR,N/A,47,Fraxinus pennsylvanica,14.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Christensen Park,Unassigned,N,Unassigned,Unassigned,2014-12-05 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3077310.63780000,1247774.42890000,43,47905.000000,NR 20141231111849,5710, ,ARAPAHOE AV,ARAPAHOE AV,55TH ST,OLD TALE RD,N/A,967,Populus species,14.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,other - see notes,Park,Bare dirt,Park,Flatirons Golf Course,Unassigned,N,Unassigned,Unassigned,2014-12-31 00:00:00, ,2015-07-10 00:00:00,11:30:46,lost top,1.000000,Native Cottonwood
3067286.49130000,1260004.09540000,44,37805.000000,JS 20141117112109,4001,X,28TH ST,28TH ST,JAY RD,WINDING TRAIL DR,N/A,159,Populus species,24.000000, ,Fair,N,Structure Prune,Priority 2,Deciduous,No,N/A,large leader or limb decay,Park,Natural Area,Park,Elks Park,Unassigned,N,Unassigned,Unassigned,2014-11-17 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Native Cottonwood
3059539.33520000,1258076.69690000,45,45060.000000,CC 20141216112029,701,X,LINDEN PARK DR,LINDEN PARK DR,LINDEN AV,WONDERLAND HILL AV,N/A,9,Fraxinus pennsylvanica,17.000000, ,Fair,N,Safety Prune,Routine,Deciduous,No,N/A,root damage,Park,Natural Area,Park,Maxwell Lake Park,Unassigned,N,Unassigned,Unassigned,2014-12-16 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3079097.58990000,1247998.30630000,46,47092.000000,NR 20141219163531,5710, ,ARAPAHOE AV,ARAPAHOE AV,55TH ST,OLD TALE RD,N/A,839,Quercus macrocarpa,5.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Flatirons Golf Course,Unassigned,N,Unassigned,Unassigned,2014-12-19 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Bur Oak
3060607.67950000,1245935.79050000,47,39207.000000,JS 20141125150259,1201, ,9TH ST,9TH ST,PLEASANT ST,COLLEGE AV,N/A,173,Fraxinus pennsylvanica,25.000000, ,Fair,N,Structure Prune,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Columbia Cemetery,Unassigned,N,Unassigned,Unassigned,2014-11-25 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3063161.57360000,1257001.05780000,48,39425.000000,NR 20141114110029,3500, ,CLOVERLEAF DR,CLOVERLEAF DR,DEADEND,KALMIA AV,N/A,28,Malus sylvestris,16.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Pineview Park,Unassigned,N,Unassigned,Unassigned,2014-11-14 00:00:00, ,2015-07-10 00:00:00,11:30:46,DBH @ <4.5 ft,1.000000,Flowering Crabapple
3075554.07370000,1253499.97670000,49,36115.000000,AC 20141125105850,4942, ,VALMONT RD,VALMONT RD,STERLING CT,STERLING DR,N/A,228,Populus alba,11.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Valmont City Park - South,Unassigned,N,Unassigned,Unassigned,2014-11-25 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,White Poplar
3059727.01710000,1262594.16910000,50,38100.000000,JS 20141118112842,1001,X,CHERRY AV,CHERRY AV,7TH ST,10TH ST,N/A,147,Juniperus spp.,2.000000, ,Good,N,No Specific Maintenance Need,Routine,Evergreen,No,N/A,N/A,Park,Turf,Park,Foothills Community Park,Unassigned,N,Unassigned,Unassigned,2014-11-18 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Juniper species
3059363.34870000,1263906.56870000,51,38181.000000,JS 20141118141937,1001,X,CHERRY AV,7TH ST,8TH ST,CHERRY AV,Right,7,Quercus macrocarpa,3.000000, ,Fair,N,Treat Pest,Routine,Deciduous,No,other - see notes,N/A,Park,Turf,Park,Foothills Community Park,Unassigned,N,Unassigned,Unassigned,2014-11-18 00:00:00, ,2015-07-10 00:00:00,11:30:46,wasp galls,1.000000,Bur Oak
3071195.30290000,1244370.29380000,52,40966.000000,CC 20141203111956,3805, ,E AURORA AV,E AURORA AV,MOHAWK DR,37TH ST,N/A,69,Fraxinus pennsylvanica,12.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Aurora 7 Park,Unassigned,N,Unassigned,Unassigned,2014-12-03 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3059540.04420000,1266911.29550000,53,37897.000000,JS 20141117142122,501,X,DAKOTA BV,DAKOTA BV,PIERRE ST,5TH ST,N/A,39,Catalpa speciosa,3.000000, ,Excellent,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Dakota Ridge Park,Unassigned,N,Unassigned,Unassigned,2014-11-17 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Western Catalpa
3068526.45780000,1248192.04820000,54,40091.000000,AC 20141202115633,1505, ,30TH ST,30TH ST,ARAPAHOE  AV,SHADOW CREEK DR,N/A,180,Fraxinus pennsylvanica,14.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,Co-dominants,Park,Turf,Park,Scott Carpenter Park,Unassigned,N,Unassigned,Unassigned,2014-12-02 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3074959.85550000,1253983.52930000,55,35312.000000,AC 20141119134152,5325, ,VALMONT RD,VALMONT RD,STERLING CR,AIRPORT RD,N/A,276,Robinia pseudoacacia,20.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,included bark,Park,Natural Area,Park,Valmont City Park - Bike Park,Unassigned,N,Unassigned,Unassigned,2014-11-19 00:00:00, ,2015-07-10 00:00:00,11:30:46,DBH @ <4.5 ft,1.000000,Black Locust
3065987.30500000,1252120.01740000,56,38889.000000,JS 20141121164359,2472, ,BLUFF ST,BLUFF ST,24TH ST,FOLSOM ST,N/A,26,Acer negundo,7.000000, ,Fair,N,Structure Prune,Routine,Deciduous,No,N/A,N/A,Park,Shrub /Mulch bed,Park,Bluff Park,Unassigned,N,Unassigned,Unassigned,2014-11-21 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Boxelder
3077983.16060000,1245377.45450000,57,41094.000000,CC 20141204100727,5652, ,PENNSYLVANIA PL,PENNSYLVANIA PL,CUL-DE-SAC,PENNSYLVANIA AV,N/A,27,Liriodendron tulipifera,2.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Meadow Glen Park,Unassigned,N,Unassigned,Unassigned,2014-12-04 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Tuliptree
3077953.70700000,1247991.81330000,58,46647.000000,NR 20141215113434,5710, ,ARAPAHOE AV,ARAPAHOE AV,55TH ST,OLD TALE RD,N/A,391,Abies concolor,11.000000, ,Poor,N,No Specific Maintenance Need,Routine,Evergreen,No,needle necrosis,N/A,Park,Turf,Park,Flatirons Golf Course,Unassigned,N,Unassigned,Unassigned,2014-12-15 00:00:00, ,2015-07-10 00:00:00,11:30:46,apical necrosis,1.000000,White Fir
3082480.36490000,1274348.60990000,59,39503.000000,NR 20141114142503,6300,X,N 63RD ST,N 63RD ST,DIAGONAL HY,CITY LIMITS,N/A,243,Pinus sylvestris,4.000000, ,Excellent,N,No Specific Maintenance Need,Routine,Evergreen,No,N/A,N/A,Park,Turf,Park,Tom Watson Park,Unassigned,N,Unassigned,Unassigned,2014-11-14 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Scotch Pine
